#,asset,date,volume,close_usd,sector_level1,sector_level2
8839,Facebook Class A ,10/11/2021,14708223,325.44996,Technology,Software & IT Services
8840,Facebook Class A ,10/12/2021,31658684,323.77002,Technology,Software & IT Services
8841,Facebook Class A ,10/13/2021,14761469,324.54004,Technology,Software & IT Services
8842,Facebook Class A ,10/14/2021,14302153,328.53003,Technology,Software & IT Services
8843,Facebook Class A ,10/15/2021,21596372,324.76001,Technology,Software & IT Services
8844,Facebook Class A ,10/18/2021,21585020,335.34009,Technology,Software & IT Services
8845,Facebook Class A ,10/19/2021,18786317,339.99,Technology,Software & IT Services
8846,Facebook Class A ,10/20/2021,13639465,340.78003,Technology,Software & IT Services
8847,Facebook Class A ,10/21/2021,16354422,341.87989,Technology,Software & IT Services
8848,Facebook Class A ,10/22/2021,35224543,324.61011,Technology,Software & IT Services
8849,Facebook Class A ,10/25/2021,38408958,328.68995,Technology,Software & IT Services
8850,Facebook Class A ,10/26/2021,65654063,315.81006,Technology,Software & IT Services
8851,Facebook Class A ,10/27/2021,29971762,312.21998,Technology,Software & IT Services
8852,Facebook Class A ,10/28/2021,50806840,316.91993,Technology,Software & IT Services
8853,Facebook Class A ,10/29/2021,37059383,323.57007,Technology,Software & IT Services
8854,Facebook Class A ,11/1/2021,31518887,329.97999,Technology,Software & IT Services
8855,Facebook Class A ,11/2/2021,28352965,328.08008,Technology,Software & IT Services
8856,Facebook Class A ,11/3/2021,20786504,331.62012,Technology,Software & IT Services
8857,Facebook Class A ,11/4/2021,22495282,335.8501,Technology,Software & IT Services
8858,Facebook Class A ,11/5/2021,26872817,341.12989,Technology,Software & IT Services
8859,Facebook Class A ,11/8/2021,18342458,338.62012,Technology,Software & IT Services
8860,Facebook Class A ,11/9/2021,17556723,335.37012,Technology,Software & IT Services
8861,Facebook Class A ,11/10/2021,21872606,327.6399,Technology,Software & IT Services
8862,Facebook Class A ,11/11/2021,12376563,327.74,Technology,Software & IT Services
8863,Facebook Class A ,11/12/2021,25414313,340.8899,Technology,Software & IT Services
8864,Facebook Class A ,11/15/2021,25076602,347.56006,Technology,Software & IT Services
8865,Facebook Class A ,11/16/2021,18181106,342.95997,Technology,Software & IT Services
8866,Facebook Class A ,11/17/2021,13602813,340.77002,Technology,Software & IT Services
8867,Facebook Class A ,11/18/2021,17487235,338.68995,Technology,Software & IT Services
8868,Facebook Class A ,11/19/2021,26488540,345.30005,Technology,Software & IT Services
8869,Facebook Class A ,11/22/2021,27116813,341.01001,Technology,Software & IT Services
8870,Facebook Class A ,11/23/2021,17224985,337.25,Technology,Software & IT Services
8871,Facebook Class A ,11/24/2021,13566180,341.06006,Technology,Software & IT Services
8872,Facebook Class A ,11/25/2021,0,341.06006,Technology,Software & IT Services
8873,Facebook Class A ,11/26/2021,14750739,333.12012,Technology,Software & IT Services
8874,Facebook Class A ,11/29/2021,16650950,338.03003,Technology,Software & IT Services
8875,Facebook Class A ,11/30/2021,25390008,324.45997,Technology,Software & IT Services
8876,Facebook Class A ,12/1/2021,30384083,310.6001,Technology,Software & IT Services
8877,Facebook Class A ,12/2/2021,24396168,310.3899,Technology,Software & IT Services
8878,Facebook Class A ,12/3/2021,27471012,306.84009,Technology,Software & IT Services
8879,Facebook Class A ,12/6/2021,21758340,317.87012,Technology,Software & IT Services
8880,Facebook Class A ,12/7/2021,18794047,322.81006,Technology,Software & IT Services
8881,Facebook Class A ,12/8/2021,19937723,330.56006,Technology,Software & IT Services
8882,Facebook Class A ,12/9/2021,16879168,329.82007,Technology,Software & IT Services
8883,Facebook Class A ,12/10/2021,14527969,329.75,Technology,Software & IT Services
8884,Facebook Class A ,12/13/2021,22948657,334.49,Technology,Software & IT Services
